size,num_layers,l_dim,epoch,batch,dropout,bn,dist,best_auc,best_ep,seed
128,2,1,500,8192,0,0,l2,0.90148,210,70
128,2,1,500,8192,0,0,cos,0.90052,201,70
128,2,2,500,8192,0,0,l2,0.90657,234,70
128,2,2,500,8192,0,0,cos,0.90649,68,70
128,2,5,500,8192,0,0,l2,0.90649,185,70
128,2,5,500,8192,0,0,cos,0.90728,185,70
128,2,8,500,8192,0,0,l2,0.90309,10,70
128,2,8,500,8192,0,0,cos,0.90680,10,70
128,2,10,500,8192,0,0,l2,0.90752,424,70
128,2,10,500,8192,0,0,cos,0.91064,9,70
64,2,1,500,8192,0,0,l2,0.91828,492,90
64,2,1,500,8192,0,0,cos,0.91335,500,90
128,2,1,500,8192,0,0,l2,0.91039,223,90
128,2,1,500,8192,0,0,cos,0.91032,223,90
128,2,27,500,8192,0,0,l2,0.89895,401,70
128,2,27,500,8192,0,0,cos,0.90370,7,70
64,2,2,500,8192,0,0,l2,0.89172,70,90
64,2,2,500,8192,0,0,cos,0.89636,70,90
128,2,2,500,8192,0,0,l2,0.91198,126,90
128,2,2,500,8192,0,0,cos,0.91237,126,90
128,2,32,500,8192,0,0,l2,0.90811,7,70
128,2,32,500,8192,0,0,cos,0.91614,7,70
64,2,5,500,8192,0,0,l2,0.90362,16,90
64,2,5,500,8192,0,0,cos,0.90192,217,90
128,2,5,500,8192,0,0,l2,0.91074,362,90
128,2,5,500,8192,0,0,cos,0.91086,362,90
128,2,1,500,8192,0,0,l2,0.90922,347,80
128,2,1,500,8192,0,0,cos,0.91109,476,80
128,2,8,500,8192,0,0,l2,0.90637,121,90
128,2,8,500,8192,0,0,cos,0.90688,121,90
64,2,8,500,8192,0,0,l2,0.90739,21,90
64,2,8,500,8192,0,0,cos,0.90533,21,90
128,2,2,500,8192,0,0,l2,0.91588,233,80
128,2,2,500,8192,0,0,cos,0.92191,118,80
128,2,10,500,8192,0,0,l2,0.90840,12,90
128,2,10,500,8192,0,0,cos,0.91006,12,90
64,2,10,500,8192,0,0,l2,0.90445,364,90
64,2,10,500,8192,0,0,cos,0.90591,364,90
128,2,5,500,8192,0,0,l2,0.90966,198,80
128,2,5,500,8192,0,0,cos,0.90963,198,80
128,2,27,500,8192,0,0,l2,0.91618,9,90
128,2,27,500,8192,0,0,cos,0.91613,9,90
64,2,27,500,8192,0,0,l2,0.91628,17,90
64,2,27,500,8192,0,0,cos,0.91923,16,90
128,2,8,500,8192,0,0,l2,0.90257,116,80
